sourceId,name,category,listUrl,listStatus,itemsFound,detailOkRatio,primaryIssue,suggestedAction,userDecision,userNote
tusports-lanqiu,体艺学院篮球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1037&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1037&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
design-tzgg,创意设计学院通知,通知公告,https://design.sztu.edu.cn/xydt/tzgg.htm,LIST_FAIL (列表页 HTTP 503: https://design.sztu.edu.cn/xydt/tzgg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
xxjs-gdqjzzjsyzb,新一代信息技术研究院光电器件方向,其他,https://xxjs.sztu.edu.cn/yjfx/gdqjzzjsyzb.htm,LIST_FAIL (列表页 HTTP 503: https://xxjs.sztu.edu.cn/yjfx/gdqjzzjsyzb.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
tusports-jsry,体艺学院竞赛荣誉,学生工作,https://tusports.sztu.edu.cn/dhlb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1045&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://tusports.sztu.edu.cn/dhlb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1045&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-dtfc,未来技术学院党团风采,党建,https://futuretechnologyschool.sztu.edu.cn/dtfc/dtfc.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/dtfc/dtfc.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
tusports-paiqiu,体艺学院排球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1038&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1038&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
hr-bszn-zhgl,人事综合管理办事指南,规章制度,https://hr.sztu.edu.cn/bszn/zhgl.htm,LIST_FAIL (列表页 HTTP 503: https://hr.sztu.edu.cn/bszn/zhgl.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
fxcs-pxtz,分析测试中心培训通知,规章制度,https://fxcszx.sztu.edu.cn/index/pxtz.htm,LIST_FAIL (列表页 HTTP 503: https://fxcszx.sztu.edu.cn/index/pxtz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sgim-ddjs,中德学院党的建设,党建,https://sgim.sztu.edu.cn/dtgz2022/ddjs.htm,LIST_FAIL (列表页 HTTP 503: https://sgim.sztu.edu.cn/dtgz2022/ddjs.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jw-djfc,教务部党建风采,党建,https://jw.sztu.edu.cn/djf.htm,LIST_FAIL (列表页 HTTP 503: https://jw.sztu.edu.cn/djf.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
